bn,en
অনুমোদন,onumodan
দাবি,dabi
থমসন,thomson
রয়টার্সের,reuterser
বিভাগীয়,bibhagiyo
প্রতিষ্ঠান,protisthan
মাছ,mach
মাছের,macher
তরকারি,torkari
যাইহোক,jaihok
মায়ানমার,myanmar
ন্যায়বিচার,nyaybichar
জবাবদিহির,jababdihir
অভাব,obhab
তেজপাল,tejpal
পাঞ্জাবের,punjaber
প্রাক্তন,prakton
মুখ্যমন্ত্রী,mukhyomontri
বিয়ন্ত,biyant
সিংয়ের,singher
তড়িৎ,tarit
পরিবাহিতা,poribahita
চলচ্চিত্রটি,chalachittroti
হিন্দি,hindi
ডাবিং,dubbing
দো,do
দিল,dil
দিওয়ানে,diwane
তেলুগু,telegu
ভাষায় 'প্রেমা,"bhashay"" prema"
পিচি' নামে,"pichi ""naame"
মুক্তি,mukti
দেওয়া,deya
মহেন্দ্র,mahendra
ধোনি,dhoni
সহযোদ্ধারা,shohojoddhara
সেখান,shekhan
আনেন,anen
টিলার,tilar
উপরে,upore
সমাধিস্থল,shomadhisthal
মেয়ে,meye
জীবনানন্দ,jibanananda
প্রাচীন,prachin
অধিবাসী,odhibashi
পারসিকরাই,parsikarai
বিরুদ্ধে,birrudhe
ষড়যন্ত্র,shorojontro
অব্যাহত,obbyahoto
সমগ্র,shomogro
খেলোয়াড়ী,kheloyari
জীবনে,jibone
৩৯,39
টেস্টে,teste
অংশগ্রহণের,ongshogrohoner
সিইসিএএফএ,cecafa
ওমেন,women
চ্যালেঞ্জ,challenge
উদ্বোধনী,udbadhani
আসরে,asore
মহিলা,mohila
থাকলেও,thakleo
জটিলতার,jotilotar
কারণে,karone
পরবর্তীতে,porobortite
আসরটি,asorti
বাতিল,batil
ঘোষণা,ghoshona
নোটিশটি,notisti
ঘোষণা,ghosona
ফ্রি,free
সফটওয়্যার,software
মুক্তির,muktir
সিস্টেমে,systeme
নবদ্বীপের,nabadwiper
শাক্তরাস,shaktoras
এ'ধরণের,edhoroner
মানকরণের,mankaraner
মিষ্টান্ন,mistanna
বিক্রেতা,bikreta
জোশী,joshi
বুধাকাকা,budhakaka
হালুয়া,haluwa
তৈরি,toiri
মাহিমের,mahimer
যৌন,jouno
মিলনে,milane
সম্মতি,sammati
যেকোন,jekono
সম্পর্কে,samporke
গুরূত্বপূর্ণ,guruttopurno
রাখে,rakhe
ক্ষুধা,khudha
খাদ্য,khadda
নিরাপত্তার,nirapattar
জড়িত,jarita
বিশ্বের,bishwaer
বৃহত্তম,brihattama
সংস্থা,sanstha
তবুও,tubuo
নবিনীকে,nabinike
ঘরে,ghare
গনির,ganir
দেখা,dekha
করতে,korte
সুমন,sumon
ফিরে,fire
আসার,asar
প্রতিশ্রুতি,protisruti
সারাহ,sarah
ইব্রাহিমের,ibrahimer
নালিশ,nalish
করলেন,korlen
হাজেরার,hajerar
কঠোর,kathor
আচরণ,achoron
হাজেরা,hajera
পালিয়ে,paliye
গেলেন,gelen
চালানোর,chalanor
প্রতিবাদীদের,protibadider
ক্ষুদ্ধ,khubdha
তোলে,tole
প্রতিবাদীরা,protibadira
চৌকির,chowkir
ভিতরে,bhitare
ঢুকে,dukhe
জ্বালিয়ে,jaliye
দেয়,dey
নিষ্পাপ,nishpap
শিশুদের,shishuder
বাঁচাতে,bachate
কি,ki
মালার,malar
ভালবাসা,bhalobasha
বকুকে,bakuke
বিসর্জন,bisarjon
দিতে,dite
হবে,hobe
সৈন্যরা,senara
এমনকি,emonki
বুদাপেস্টে,budapeste
নিরপেক্ষ,nirapekkho
দেশগুলোর,deshgulor
দূতাবাস,dutabas
কর্মীদেরও,kormidero
গ্রেপ্তার,greptar
ধর্ষণ,dharshan
উদাহরণস্বরূপ,udaharanswarup
সৈন্যরা,soinnora
শহরটিতে,shohortite
দূতাবাসে,dutabase
চালিয়ে,chaliye
দূতাবাসের,dutabaser
নারী,nari
ধর্ষণ,dharsan
পিসিফর্মিস,pisciformis
বর্গের,borger
অধিকাংশ,adhikangso
প্রজাতিই,prajitii
পতঙ্গভূক,patangabhuk
ভূমিতিক,bhumitik
গম্বুজের,gambujer
সাধনকারী,shadhonkari
স্থপতি,sthapati
বাকমিন্‌স্টার,bakminster
ফুলার,fuller
অ্যান্টার্কটিকায়,antarctikay
গম্বুজ,gambuj
নগর,nagar
তৈরির,toirir
সম্ভাবনা,shombhabona
উত্থাপন,utthapan
করেন,karen
মাঝে,majhe
নিয়ন্ত্রিত,niyantrita
জলবায়ুতে,jalabayute
স্থাপনা,sthapana
গড়ে,gore
তোলা,tola
সম্ভব,shombhob
২০০৫,2005
আইসিসি,icc
ট্রফিতেও,trophyteo
পক্ষে,pokkhe
খেলেন,khelen
নজরুলের,nazrul
কারাদণ্ডের,karadander
পরিপ্রেক্ষিতে,pariprekkhite
২৭,27
জানুয়ারি,january
নজরুল,nazrul
সংখ্যা,shonkhya
১৭৯০,1790
যন্ত্রপাতি,jontropati
ক্যালকাটা,calcutta
মিন্ট,mint
স্থাপন,sthapon
ফল,fole
ভালো,bhalo
পর্যায়ের,porjayer
ট্র্যাক,track
ফিল্ড,field
অংশগ্রহণ,angsograhan
অনুষ্ঠানটির,onushthantir
সূচনালগ্নে,suchonalogne
বর,bor
গায়ে,gaye
হলুদ,holud
আবর্তনে,abortane
অনুষ্ঠানটি,onushtanti
এখন,ekhon
ব্যাপক,byapok
ধারণ,dharon
২০০৯,2009
ফেব্রুয়ারিতে,feburarite
প্রমাণ,praman
পাওয়া,paya
থাইল্যান্ডের,thailander
সেনারা,senara
১৯০,190
জন,jon
শরণার্থীকে,shoronarthike
ভাসিয়ে,bhashiye
বাড়িটির,baritir
আগেই,agei
১৮৬৭,1867
মসজিদের,masjider
ওম,om
কাশ্মীর,kashmir
উওর-পূর্বাঞ্চলীয়,uttor-purbonchaliyo
প্রদেশে,prodeshe
সংঘটিত,shonghotita
বিচ্ছিন্নতাবাদ,bicchinotabad
সামরিক,shamorik
অভিযানে,abhijane
নিয়েছেন,niyechen
জ্ঞাত,gyat
দূর্বলতার,durbalatar
জন্যে,jonno
মেটাস্পলেয়েট,metaspoleyet
ব্যবিহার,byabohar
রামকে,ramke
অযোধ্যায়,ajodhyay
ফিরে,phire
রাজপদ,rajpod
জানালেন,janalen
নিম,neem
বেল,bel
নীলের,niler
মূর্তি,murti
বলচন্দ,balchondro
কামাল,kamal
হাসান,hasan
সুজাতা,sujata
রজনীকান্ত,rajnikanth
ডিগ্রী,degree
যদিও,jodiyo
রেডিয়ান,radian
60,60
ডিগ্রি,degree
কোণকে,konke
ত্রিখণ্ডিত,trikhondit
কলেজের,colleger
শিক্ষার্থীদের,shikkharthider
শিক্ষা,shikkha
সুবিধার্থে,subhidharthe
সুপরিসর,shuparisar
গ্রন্থাগার,granthagar
সিরিয়া,syria
সান্তা,santa
ক্রুজে,cruze
নদীর,nodir
কিনারায়,kinarai
হরিণ,harin
বন,ban
বিড়াল,biral
পাওয়া,pawa
স্থানবিশেষে,sthanbishese
ছোটখাটো,chotokhato
বৃক্ষও,brikkhao
উঠতে,uthte
পিঞ্জর,pinjar
এনটিভি,ntv
টেলিফিল্ম,telefilm
মাতার,matar
মজিদা,majida
বেগম,begum
শহরতলী,shahartali
পরিসেবা,porisheba
রয়েছে।জাকার্তাতে,royeche. jakartate
লাইট,light
মঞ্জিলের,manjiler
স্থাপত্যশৈলী,sthapattashaili
পশ্চিমাদের,poschimader
সবসময়ই,sobshomoy
আকৃষ্ট,akristha
উভয়,ubhay
ডানার,danar
সেল,cell
অব্যবহিত,abbyabahita
ডিসকোসেলুলার,discocellular
অংশে,angse
আঁকাবাকা,akabaka
কালো,kalo
সুস্পষ্ট,suspashto
রেখা,rekha
কোস্টার,coster
সামান্য,samannya
নীচ,nich
ডরসাম,dorsam
খানিক,khanik
পর্যন্ত,porjonta
উলম্বভাবে,ulambabhabe
চ্যারিটি,charity
দাতব্য,datobbo
কাজের,kajer
পেতো,peto
বেশ,besh
কয়েকজন,koekjon
সমালোচনা,shomalochona
সিদ্ধেশ্বরী,sidheswari
কালীমন্দির,kalimondir
পশ্চিমবঙ্গের,poschimbonger
কোচবিহার,coochbehar
সিদ্ধেশ্বরী,sideshwari
অবস্থিত,abasthit
কালী,kali
নরেন্দ্রনাথ,narendranath
দত্তের,dutter
ভাইদের,bhaider
সকলেই,sakalei
করেছিলেন,korechilen
এ,a
এলাকায়,elakay
খড়গ,khorog
রাজাদের,rajader
শাসন,shason
আমল,amol
৬০০-৭০০,600-700
খ্রিষ্টাব্দ,christabdo
পর্যন্ত,porjonto
কোটি,koti
মাতৃভাষা,matribhasha
মিলিয়ে,miliye
৪১,41
লোক,lok
ইলিশ,ilish
অর্থনৈতিক,arthanoitik
খুব,khub
গ্রীষ্মমন্ডলীয়,grishmamandaliya
ঘনকের,ghanaker
অভ্যন্তরস্থ,abhyantarastho
বিন্দু,bindu
যেটা,jeta
নয়,noy
সেটা,sheta
সিম্পলেক্সের,simplexer
হতে,hote
মোহাম্মদ,mohhamad
রাবে,rabe
হাসানি,hasani
নদভি,nadvi
ইসলামি,islami
পণ্ডিত,pondit
ভিয়েতনামে,vietname
ধানখেতে,dhankhete
চাষ,chash
পরবর্তীতে,parobortite
জ্বালানিকাঠ,jalanikath
রত্নগুলি,ratnaguli
সমতল,samatal
ছাদের,chader
উপর,upar
চারটি,charti
গ্যাসীয়,gasiyo
দানব,danob
বৃহস্পতি,brihaspati
শনি,shani
ইউরেনাস,uranus
নেপচুন,neptune
১৯৫৮,1958
কনস্যুলেট,consulate
জেনারেলে,generale
উন্নীত,unnita
১৯২৬,1926
সফর,safar
বঞ্চিত,banchita
ব্যাপক,byapak
বিতর্কের,bitarker
উদ্রেক,udrek
ঘটে,ghate
ক্ষমতাসীন,khomotasin
এমএসজেডপি,mszp
কর্তৃক,kartirk
অর্থনীতি,arthaneeti
প্রসঙ্গে,prashange
যথেচ্ছ,jatheccha
মিথ্যাচারের,mitthyacharer
ভোট,vote
সংখ্যা,sankhya
বাড়তে,barte
বাল্যকালে,ballyokale
পাঠশালায়,pathshalay
সামান্য,shamanno
লেখাপড়া,lekhapora
সংস্কৃত,sanskrit
হিন্দিতে,hindite
জ্ঞান,gyan
সমালোচক,shomalochok
মনে,mone
ক্যাথলিক,catholic
চার্চ,church
খ্রিষ্টানধর্ম,christiandharma
প্রচার,prachar
সমালোচনার,somalochonar
মোকাবেলা,mokabela
তেরেসার,teresar
ভাবমূর্তি,bhabmurti
কংগ্রেসে,congresse
রাষ্ট্রগুলোর,rashtrogulor
স্বাধীন,sadhin
অগ্রসর,agrasar
হবেন,hoben
মাধ্যমে,maddhyome
মৌলিক,moulik
আইন-কানুন,ain-kanun
মেনে,mene
চলবেন,cholbe
তুর্কি,turkey
নারীদেরকে,nariderke
সন্তান,sontan
প্রতিপালন,pratipalon
পোষাক,poshak
গৃহস্থালি,grihasthali
ঘরের,gharer
